+-----------+---------------+---------------+
| VxLAN VNI |  SOURCE VTEP  |  DEST VTEP(s) |
+-----------+---------------+---------------+
|   50181   | 192.168.0.110 |  192.168.0.19 |
|           |  192.168.0.19 | 192.168.0.111 |
|           |               | 192.168.0.110 |
|           |               | 192.168.0.111 |
|   50180   | 192.168.0.110 |  192.168.0.19 |
|           |  192.168.0.19 | 192.168.0.111 |
|           |               | 192.168.0.110 |
|           |               | 192.168.0.111 |
|   50183   | 192.168.0.110 |  192.168.0.18 |
|           |               | 192.168.0.111 |
|   50182   | 192.168.0.110 |  192.168.0.18 |
|           |               | 192.168.0.111 |
|   50185   | 192.168.0.110 |  192.168.0.18 |
|           |               | 192.168.0.111 |
|   50184   | 192.168.0.110 |  192.168.0.18 |
|           |               | 192.168.0.111 |
|   50187   | 192.168.0.110 |  192.168.0.18 |
|           |               | 192.168.0.111 |
|   50186   | 192.168.0.110 |  192.168.0.18 |
|           |               | 192.168.0.111 |
|   50189   | 192.168.0.110 |  192.168.0.18 |
|           |               | 192.168.0.111 |
|   50188   | 192.168.0.110 |  192.168.0.18 |
|           |               | 192.168.0.111 |
|   50145   | 192.168.0.110 |  192.168.0.19 |
|           |  192.168.0.19 | 192.168.0.111 |
|           |               | 192.168.0.110 |
|           |               | 192.168.0.111 |
|   50144   | 192.168.0.110 |  192.168.0.19 |
|           |  192.168.0.19 | 192.168.0.111 |
|           |               | 192.168.0.110 |
|           |               | 192.168.0.111 |
|   50163   | 192.168.0.110 |  192.168.0.19 |
|           |  192.168.0.19 | 192.168.0.110 |
|   50162   | 192.168.0.110 |  192.168.0.19 |
|           |  192.168.0.19 | 192.168.0.110 |
|   50147   | 192.168.0.110 |  192.168.0.19 |
|           |  192.168.0.19 | 192.168.0.111 |
|           |               | 192.168.0.110 |
|           |               | 192.168.0.111 |
|   50146   | 192.168.0.110 |  192.168.0.19 |
|           |  192.168.0.19 | 192.168.0.111 |
|           |               | 192.168.0.110 |
|           |               | 192.168.0.111 |
|   50167   | 192.168.0.110 |  192.168.0.19 |
|           |  192.168.0.19 | 192.168.0.110 |
|   50140   | 192.168.0.110 |  192.168.0.18 |
|           |  192.168.0.19 |  192.168.0.19 |
|           |               | 192.168.0.111 |
|           |               |  192.168.0.18 |
|           |               | 192.168.0.110 |
|           |               | 192.168.0.111 |
|   50143   | 192.168.0.110 |  192.168.0.19 |
|           |  192.168.0.19 | 192.168.0.111 |
|           |               | 192.168.0.110 |
|           |               | 192.168.0.111 |
|   50142   | 192.168.0.110 |  192.168.0.18 |
|           |  192.168.0.19 |  192.168.0.19 |
|           |               | 192.168.0.111 |
|           |               |  192.168.0.18 |
|           |               | 192.168.0.110 |
|           |               | 192.168.0.111 |
|   50141   | 192.168.0.110 |  192.168.0.18 |
|           |  192.168.0.19 |  192.168.0.19 |
|           |               | 192.168.0.111 |
|           |               |  192.168.0.18 |
|           |               | 192.168.0.110 |
|           |               | 192.168.0.111 |
|   50169   | 192.168.0.110 |  192.168.0.19 |
|           |  192.168.0.19 | 192.168.0.110 |
|   50168   | 192.168.0.110 |  192.168.0.19 |
|           |  192.168.0.19 | 192.168.0.110 |
|   50149   | 192.168.0.110 |  192.168.0.19 |
|           |  192.168.0.19 | 192.168.0.111 |
