+------------------------------------------------+---------------+---------------+
|                   VxLAN VNI                    |  SOURCE VTEP  |  DEST VTEP(s) |
+------------------------------------------------+---------------+---------------+
| _contrail_vUSN01_Srv_CN-SS7_2-OSPF_NSSA-l2-113 |    10.0.0.5   |    10.0.0.3   |
|                                                |               |    10.0.0.4   |
|     _contrail_vUSN_Fabric_Network1-l2-102      |    10.0.0.5   |    10.0.0.3   |
|                                                |               |    10.0.0.4   |
|                                                |               |  192.168.4.35 |
|                                                |               |  192.168.4.28 |
|                     50180                      | 192.168.0.110 |  192.168.0.19 |
|                                                |  192.168.0.19 | 192.168.0.111 |
|                                                |               | 192.168.0.110 |
|                                                |               | 192.168.0.111 |
|                     50183                      | 192.168.0.110 |  192.168.0.18 |
|                                                |               | 192.168.0.111 |
|                     50182                      | 192.168.0.110 |  192.168.0.18 |
|                                                |               | 192.168.0.111 |
|                     50185                      | 192.168.0.110 |  192.168.0.18 |
|                                                |               | 192.168.0.111 |
|                     50184                      | 192.168.0.110 |  192.168.0.18 |
|                                                |               | 192.168.0.111 |
|                     50187                      | 192.168.0.110 |  192.168.0.18 |
|                                                |               | 192.168.0.111 |
|                     50186                      | 192.168.0.110 |  192.168.0.18 |
|                                                |               | 192.168.0.111 |
|                     50189                      | 192.168.0.110 |  192.168.0.18 |
|                                                |               | 192.168.0.111 |
|                     50188                      | 192.168.0.110 |  192.168.0.18 |
|                                                |               | 192.168.0.111 |
|                 default-switch                 |    10.0.0.3   |    10.0.0.5   |
|                                                |               |    10.0.0.4   |
|                                                |               |  192.168.4.27 |
|                                                |               |  192.168.4.26 |
|                                                |               |  192.168.4.14 |
|                                                |               |  192.168.4.15 |
|                                                |               |  192.168.4.29 |
|                                                |               |  192.168.4.21 |
|                                                |               |  192.168.4.35 |
|                                                |               |  192.168.4.22 |
|                                                |               |  192.168.4.28 |
|      _contrail_BNG1-FLAT-VLAN-200-l2-114       |    10.0.0.5   |    10.0.0.3   |
|                                                |               |    10.0.0.4   |
|                     50167                      | 192.168.0.110 |  192.168.0.19 |
|                                                |  192.168.0.19 | 192.168.0.110 |
|                     50199                      | 192.168.0.110 | 192.168.0.111 |
|                     50163                      | 192.168.0.110 |  192.168.0.19 |
|                                                |  192.168.0.19 | 192.168.0.110 |
|                     50196                      | 192.168.0.110 | 192.168.0.111 |
|      _contrail_vUSN01_OM_Network1-l2-104       |    10.0.0.5   |  192.168.4.26 |
|                                                |               |  192.168.4.27 |
|                                                |               |    10.0.0.3   |
|                                                |               |    10.0.0.4   |
|                                                |               |  192.168.4.29 |
|                                                |               |  192.168.4.35 |
|                                                |               |  192.168.4.14 |
|                                                |               |  192.168.4.21 |
|                                                |               |  192.168.4.15 |
|                     50162                      | 192.168.0.110 |  192.168.0.19 |
|                                                |  192.168.0.19 | 192.168.0.110 |
|          _contrail_vUSN_Srv_2-l2-107           |    10.0.0.5   |  192.168.4.35 |
|                     50147                      | 192.168.0.110 |  192.168.0.19 |
|                                                |  192.168.0.19 | 192.168.0.111 |
|                                                |               | 192.168.0.110 |
|                                                |               | 192.168.0.111 |
|                     50145                      | 192.168.0.110 |  192.168.0.19 |
|                                                |  192.168.0.19 | 192.168.0.111 |
|                                                |               | 192.168.0.110 |
|                                                |               | 192.168.0.111 |
|                     50144                      | 192.168.0.110 |  192.168.0.19 |
|                                                |  192.168.0.19 | 192.168.0.111 |
|                                                |               | 192.168.0.110 |
|                                                |               | 192.168.0.111 |
|        _contrail_jnpr_sriov_test3-l2-51        |    10.0.0.5   |    10.0.0.3   |
|                                                |               |  192.168.4.21 |
|                     50146                      | 192.168.0.110 |  192.168.0.19 |
|                                                |  192.168.0.19 | 192.168.0.111 |
|                                                |               | 192.168.0.110 |
|                                                |               | 192.168.0.111 |
|                  VS_EVPN_OAM                   |    10.0.0.5   |    10.0.0.3   |
|                                                |               |    10.0.0.4   |
|                     50140                      | 192.168.0.110 |  192.168.0.18 |
|                                                |  192.168.0.19 |  192.168.0.19 |
|                                                |               | 192.168.0.111 |
|                                                |               |  192.168.0.18 |
|                                                |               | 192.168.0.110 |
|                                                |               | 192.168.0.111 |
|                     50143                      | 192.168.0.110 |  192.168.0.19 |
|                                                |  192.168.0.19 | 192.168.0.111 |
|                                                |               | 192.168.0.110 |
|                                                |               | 192.168.0.111 |
|                     50142                      | 192.168.0.110 |  192.168.0.18 |
|                                                |  192.168.0.19 |  192.168.0.19 |
|                                                |               | 192.168.0.111 |
|                                                |               |  192.168.0.18 |
|                                                |               | 192.168.0.110 |
|                                                |               | 192.168.0.111 |
|     _contrail_vUSN_Fabric_Network2-l2-103      |    10.0.0.5   |    10.0.0.3   |
|                                                |               |    10.0.0.4   |
|                                                |               |  192.168.4.28 |
|                                                |               |  192.168.4.35 |
|                     50141                      | 192.168.0.110 |  192.168.0.18 |
|                                                |  192.168.0.19 |  192.168.0.19 |
|                                                |               | 192.168.0.111 |
|                                                |               |  192.168.0.18 |
|                                                |               | 192.168.0.110 |
|                                                |               | 192.168.0.111 |
|                     50169                      | 192.168.0.110 |  192.168.0.19 |
|                                                |  192.168.0.19 | 192.168.0.110 |
|                     50166                      | 192.168.0.110 |  192.168.0.19 |
|                                                |  192.168.0.19 | 192.168.0.110 |
|                     50149                      | 192.168.0.110 |  192.168.0.19 |
|                                                |  192.168.0.19 | 192.168.0.111 |
|                                                |               | 192.168.0.110 |
|                                                |               | 192.168.0.111 |
|                     50148                      | 192.168.0.110 |  192.168.0.19 |
|                                                |  192.168.0.19 | 192.168.0.111 |
|                                                |               | 192.168.0.110 |
|                                                |               | 192.168.0.111 |
|  _contrail_vUSN01_Srv_GNGP_2-OSPF_NSSA-l2-111  |    10.0.0.5   |    10.0.0.3   |
|                                                |               |    10.0.0.4   |
|         _contrail_vEPSN_CI_Srv_2-l2-13         |    10.0.0.5   |    10.0.0.3   |
|                                                |               |  192.168.4.26 |
|                                                |               |  192.168.4.27 |
|                                                |               |  192.168.4.35 |
|                                                |               |  192.168.4.29 |
|                                                |               |  192.168.4.14 |
|                                                |               |  192.168.4.21 |
|                                                |               |  192.168.4.15 |
|                                                |               |    10.0.0.4   |
|       _contrail_vBNG1-to-IGW-link3-l2-58       |    10.0.0.5   |               |
|                     50150                      | 192.168.0.110 |  192.168.0.19 |
|                                                |  192.168.0.19 | 192.168.0.111 |
|                                                |               | 192.168.0.110 |
|                                                |               | 192.168.0.111 |
|       _contrail_vBNG3-to-AGG-link1-l2-64       |    10.0.0.5   |               |
|         _contrail_BNG-FLAT-201-l2-115          |    10.0.0.5   |    10.0.0.3   |
|                                                |               |    10.0.0.4   |
|                     50164                      | 192.168.0.110 |  192.168.0.19 |
|                                                |  192.168.0.19 | 192.168.0.110 |
|      _contrail_vEPSN01_OM_Network1-l2-10       |    10.0.0.5   |  192.168.4.26 |
|                                                |               |    10.0.0.3   |
|                                                |               |  192.168.4.27 |
|                                                |               |  192.168.4.29 |
|                                                |               |  192.168.4.35 |
|                                                |               |  192.168.4.14 |
|                                                |               |  192.168.4.21 |
|                                                |               |  192.168.4.15 |
|                                                |               |    10.0.0.4   |
|                     50192                      | 192.168.0.110 |  192.168.0.18 |
|                                                |               | 192.168.0.111 |
|          _contrail_vUSN_Srv_1-l2-106           |    10.0.0.5   |  192.168.4.35 |
|         _contrail_di_internal2-l2-141          |    10.0.0.5   |    10.0.0.4   |
|                                                |               |    10.0.0.3   |
|                                                |               |  192.168.4.29 |
|                                                |               |  192.168.4.26 |
|                                                |               |  192.168.4.22 |
|                     50191                      | 192.168.0.110 |  192.168.0.18 |
|                                                |               | 192.168.0.111 |
|         _contrail_test-network-l2-116          |    10.0.0.5   |    10.0.0.3   |
|                     50197                      | 192.168.0.110 | 192.168.0.111 |
|                     50194                      | 192.168.0.110 | 192.168.0.111 |
|                     50195                      | 192.168.0.110 | 192.168.0.111 |
| _contrail_vUSN01_Srv_S1-MME_2-OSPF_NSSA-l2-109 |    10.0.0.5   |    10.0.0.3   |
|                                                |               |    10.0.0.4   |
|                     50198                      | 192.168.0.110 | 192.168.0.111 |
|                     50165                      | 192.168.0.110 |  192.168.0.19 |
|                                                |  192.168.0.19 | 192.168.0.110 |
| _contrail_vUSN01_Srv_S1-MME_1-OSPF_NSSA-l2-108 |    10.0.0.5   |    10.0.0.3   |
|                                                |               |    10.0.0.4   |
